key,value
run_tag,20260220_161227
xlsx_path,data_batch2.xlsx
n_bg_valid_ids,69
comm_items,5
ps_items,7
stai_items,6
trust_items,5
ps_reverse_items,1
stai_reverse_items,3
missing_items_pre,total_missing=0; comm=0; ps=0; stai=0; trust=0
missing_items_post,total_missing=0; comm=0; ps=0; stai=0; trust=0
missing_items_delay,total_missing=9; comm=0; ps=1; stai=3; trust=5
reliability_csv,results\20260220_161227_reliability_pre.csv
n_delay_A,31
n_delay_B,31
n_post_A,31
n_post_B,31
n_pre_A,33
n_pre_B,34
long_df_csv,results\20260220_161227_long_df.csv
model_stai6_type,MixedLM
model_stai6_n_subjects,62
model_stai6_n_obs,187
model_psych_safety_type,MixedLM
model_psych_safety_n_subjects,62
model_psych_safety_n_obs,187
model_comm_eff_type,MixedLM
model_comm_eff_n_subjects,62
model_comm_eff_n_obs,187
models_csv,results\20260220_161227_models.csv
hypothesis_results_csv,results\20260220_161227_hypothesis_results.csv
figure_fig_psafety_by_group_time_html,results\20260220_161227_fig_psafety_by_group_time.html
figure_fig_psafety_by_group_time_png,results\20260220_161227_fig_psafety_by_group_time.png
figure_fig_stai6_by_group_time_html,results\20260220_161227_fig_stai6_by_group_time.html
figure_fig_stai6_by_group_time_png,results\20260220_161227_fig_stai6_by_group_time.png
figure_fig_comm_by_group_time_html,results\20260220_161227_fig_comm_by_group_time.html
figure_fig_comm_by_group_time_png,results\20260220_161227_fig_comm_by_group_time.png
warnings_count,1
warning_1,"MixedLM(comm_eff,lbfgs) failed: LinAlgError: Singular matrix"
